AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
0,0,0,0,0,1,1,FALSE,8845,6,0,0,FALSE,0,8845,0
7.833274956,0.009057461,0.127660526,0.083333333,18,4,1,FALSE,8843,9,3,0,FALSE,0,8843,1607912
0,0,0,0,0,1,1,FALSE,8842,11,0,0,FALSE,0,8842,0
0,0,0,0.5,0,2,2,FALSE,8841,7.5,0,0,FALSE,0,8841,0
5.863747811,0.343635798,0.170539394,0.018181818,16,11,1,FALSE,8844,50.45454545,10,0,FALSE,0,8844,60737898
0,0,0,0,0,1,1,FALSE,8840,11,0,0,FALSE,0,8840,0
0,0,0,0,0,1,1,FALSE,8839,11,0,0,FALSE,0,8839,0
0,0,0,0,0,1,1,FALSE,8838,11,0,0,FALSE,0,8838,0
6.57186223,0.525184969,0.152163872,0.011111111,16,10,1,FALSE,8830,8.2,9,0,FALSE,0,8830,87432599
0,0,0,0,0,1,1,FALSE,8829,5,0,0,FALSE,0,8829,0
7.962988908,0.200088326,0.125580986,0,18,6,1,FALSE,8837,10.66666667,5,0,FALSE,0,8837,34253299
1,2.35E-04,1,0,1,2,1,FALSE,8836,19,1,0,FALSE,0,8836,18356
0,0,0,0,0,1,1,FALSE,8835,34,0,0,FALSE,0,8835,0
0,0,0,0,0,1,1,FALSE,8834,34,0,0,FALSE,0,8834,0
0,0,0,0,0,1,1,FALSE,8833,34,0,0,FALSE,0,8833,0
0,0,0,0,0,1,1,FALSE,8832,34,0,0,FALSE,0,8832,0
6.778517221,0.604227243,0.147524889,0.018181818,18,11,1,FALSE,8831,13,10,0,FALSE,0,8831,102442076
6.661762989,0.812805627,0.150110414,0,18,11,1,FALSE,8828,8,10,0,FALSE,0,8828,135733855
1,9.96E-04,1,0,1,2,1,FALSE,8827,8,1,0,FALSE,0,8827,101132
0,0,0,0,0,1,1,FALSE,8826,11,0,0,FALSE,0,8826,0
0,0,0,0,0,1,1,FALSE,8825,11,0,0,FALSE,0,8825,0
7.085113835,0.052420174,0.141140993,0,18,2,1,FALSE,8824,12,1,0,FALSE,0,8824,9239539
7.43420899,0.040004182,0.134513302,0,17,2,1,FALSE,8823,15,1,0,FALSE,0,8823,7158134
6.873788675,0.745441202,0.145480178,0.033333333,15,6,1,FALSE,8820,10.16666667,5,0,FALSE,0,8820,124044214
6.259544658,0.166875547,0.159756029,0,16,11,1,FALSE,8819,13.36363636,10,0,FALSE,0,8819,27721426
0,0,0,0,0,1,1,FALSE,8818,11,0,0,FALSE,0,8818,0
7.440396964,0.23112981,0.134401431,0,16,5,1,FALSE,8817,6.2,4,0,FALSE,0,8817,37095739
0,0,0,0,0,1,1,FALSE,8816,6,0,0,FALSE,0,8816,0
5.819264448,2.395481128,0.171843024,0.003565062,17,34,1,FALSE,8815,10.08823529,33,0,FALSE,0,8815,405659314
0,0,0,0,0,1,1,FALSE,8814,11,0,0,FALSE,0,8814,0
6.510916521,0.412890177,0.153588208,0,15,11,1,FALSE,8812,7.636363636,10,0,FALSE,0,8812,67167952
7.100642148,1.490429676,0.140832333,0,18,11,1,FALSE,8811,6.818181818,10,0,FALSE,0,8811,249995402
0,0,0,0,0,1,1,FALSE,8810,11,0,0,FALSE,0,8810,0
0,0,0,0,0,1,1,FALSE,8809,11,0,0,FALSE,0,8809,0
0,0,0,0,0,1,1,FALSE,8808,11,0,0,FALSE,0,8808,0
6.670753065,0.572028874,0.149908112,0,17,11,1,FALSE,8807,6.181818182,10,0,FALSE,0,8807,98024943
6.411208406,0.952326904,0.155976836,0,17,11,1,FALSE,8800,9.181818182,10,0,FALSE,0,8800,156966835
0,0,0,0,0,1,1,FALSE,8802,11,0,0,FALSE,0,8802,0
5.963455925,0.242285212,0.167688,0.009090909,16,11,1,FALSE,8801,54.18181818,10,0,FALSE,0,8801,38838770
0,0,0,0,0,1,1,FALSE,8806,11,0,0,FALSE,0,8806,0
0,0,0,0,0,2,2,FALSE,8805,11,0,0,FALSE,0,8805,0
6.94454174,1.093991917,0.143997983,0,16,11,1,FALSE,8804,9.818181818,10,0,FALSE,0,8804,185442926
7.930414478,0.078436423,0.126096814,0,19,2,1,FALSE,8803,12.5,1,0,FALSE,0,8803,13248739
0,0,0,0,0,1,1,FALSE,8799,6,0,0,FALSE,0,8799,0
0,0,0,0,0,1,1,FALSE,8798,6,0,0,FALSE,0,8798,0
0,0,0,0,0,1,1,FALSE,8797,6,0,0,FALSE,0,8797,0
0,0,0,0,0,1,1,FALSE,8796,6,0,0,FALSE,0,8796,0
0,0,0,0,0,1,1,FALSE,8795,6,0,0,FALSE,0,8795,0
6.8372446,0.100459111,0.146257748,0,18,10,1,FALSE,8794,11.1,9,0,FALSE,0,8794,17194682
0,0,0,0,0,2,2,FALSE,8792,6.5,0,0,FALSE,0,8792,0
0,0,0,0,0,1,1,FALSE,8791,11,0,0,FALSE,0,8791,0
0,0,0,0,0,1,1,FALSE,8789,11,0,0,FALSE,0,8789,0
0,0,0,0,0,1,1,FALSE,8788,11,0,0,FALSE,0,8788,0
0,0,0,0,0,1,1,FALSE,8787,11,0,0,FALSE,0,8787,0
6.283479276,2.705496097,0.159147497,0.009090909,18,11,1,FALSE,8786,10.90909091,10,0,FALSE,0,8786,458053619
1,2.15E-04,1,0,1,2,1,FALSE,8785,11.5,1,0,FALSE,0,8785,25969
0,0,0,0,0,1,1,FALSE,8784,11,0,0,FALSE,0,8784,0
6.606771745,0.695401449,0.151359853,0,18,11,1,FALSE,8778,10.18181818,10,0,FALSE,0,8778,112705044
7.121541156,0.626635854,0.140419044,0,17,10,1,FALSE,8777,7.4,9,0,FALSE,0,8777,103099533
0,0,0,0.5,0,2,2,FALSE,8776,10.5,0,0,FALSE,0,8776,0
6.739521308,1.0592051,0.148378491,0.011111111,18,10,1,FALSE,8775,7.4,9,0,FALSE,0,8775,172131647
6.362405137,0.559086059,0.157173267,0,16,11,1,FALSE,8774,9.818181818,10,0,FALSE,0,8774,89577305
7.740221833,1.442462062,0.129195264,0,17,11,1,FALSE,8773,4.909090909,10,0,FALSE,0,8773,235325159
1.166666667,0.387429832,0.857142857,0,2,6,1,FALSE,8771,7.666666667,5,0,FALSE,0,8771,64602457
0,0,0,0,0,1,1,FALSE,8770,11,0,0,FALSE,0,8770,0
0,0,0,0,0,1,1,FALSE,8768,10,0,0,FALSE,0,8768,0
