AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,Outdegree,NeighborhoodConnectivity,PartnerOfMultiEdgedNodePairs,SelfLoops,Stress
0,0,0,0,0,1,1,0,6,0,0,0
7.833274956,0.009057461,0.127660526,0.083333333,18,4,1,3,9,0,0,1607912
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0.5,0,2,2,0,7.5,0,0,0
5.863747811,0.343635798,0.170539394,0.018181818,16,11,1,10,50.45454545,0,0,60737898
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.57186223,0.525184969,0.152163872,0.011111111,16,10,1,9,8.2,0,0,87432599
0,0,0,0,0,1,1,0,5,0,0,0
7.962988908,0.200088326,0.125580986,0,18,6,1,5,10.66666667,0,0,34253299
1,2.35E-04,1,0,1,2,1,1,19,0,0,18356
0,0,0,0,0,1,1,0,34,0,0,0
0,0,0,0,0,1,1,0,34,0,0,0
0,0,0,0,0,1,1,0,34,0,0,0
0,0,0,0,0,1,1,0,34,0,0,0
6.778517221,0.604227243,0.147524889,0.018181818,18,11,1,10,13,0,0,102442076
6.661762989,0.812805627,0.150110414,0,18,11,1,10,8,0,0,135733855
1,9.96E-04,1,0,1,2,1,1,8,0,0,101132
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.085113835,0.052420174,0.141140993,0,18,2,1,1,12,0,0,9239539
7.43420899,0.040004182,0.134513302,0,17,2,1,1,15,0,0,7158134
6.873788675,0.745441202,0.145480178,0.033333333,15,6,1,5,10.16666667,0,0,124044214
6.259544658,0.166875547,0.159756029,0,16,11,1,10,13.36363636,0,0,27721426
0,0,0,0,0,1,1,0,11,0,0,0
7.440396964,0.23112981,0.134401431,0,16,5,1,4,6.2,0,0,37095739
0,0,0,0,0,1,1,0,6,0,0,0
5.819264448,2.395481128,0.171843024,0.003565062,17,34,1,33,10.08823529,0,0,405659314
0,0,0,0,0,1,1,0,11,0,0,0
6.510916521,0.412890177,0.153588208,0,15,11,1,10,7.636363636,0,0,67167952
7.100642148,1.490429676,0.140832333,0,18,11,1,10,6.818181818,0,0,249995402
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.670753065,0.572028874,0.149908112,0,17,11,1,10,6.181818182,0,0,98024943
6.411208406,0.952326904,0.155976836,0,17,11,1,10,9.181818182,0,0,156966835
0,0,0,0,0,1,1,0,11,0,0,0
5.963455925,0.242285212,0.167688,0.009090909,16,11,1,10,54.18181818,0,0,38838770
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
6.94454174,1.093991917,0.143997983,0,16,11,1,10,9.818181818,0,0,185442926
7.930414478,0.078436423,0.126096814,0,19,2,1,1,12.5,0,0,13248739
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,6,0,0,0
6.8372446,0.100459111,0.146257748,0,18,10,1,9,11.1,0,0,17194682
0,0,0,0,0,2,2,0,6.5,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.283479276,2.705496097,0.159147497,0.009090909,18,11,1,10,10.90909091,0,0,458053619
