name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Indegree,Outdegree,NeighborhoodConnectivity
0,2.201957012,0.147769228,0.012820513,3,10,11.46153846
1,4.834176557,0.146365221,0.006535948,8,10,10.94444444
2,0,0,0,1,0,13
3,0.085048558,1,0,4,1,12
4,0.009997653,1,0,1,1,9.5
5,0.428885609,1,0.005494505,7,7,10.71428571
6,0.76141342,0.145509837,0,2,10,11.83333333
7,0,0,0,19,0,12.89473684
8,0,0,0,7,0,16.85714286
9,5.621190025,0.156452644,0.016666667,7,9,13.625
10,1.900683942,0.148009262,0.004166667,6,10,11.5
310,0,0,0,3,0,15.33333333
1091,0.83710968,0.120660994,0,4,5,11.22222222
1213,4.92590812,0.157138664,0,4,10,18.85714286
1517,0,0,0,11,0,13.45454545
3082,0,0,0,5,0,14.8
3084,0,0,0.004761905,15,0,11.66666667
3326,0,0,0,1,0,18
3327,1.896727948,0.124076488,0,4,10,8.714285714
3328,1.735560991,0.151437462,0,2,10,13.16666667
3329,1.579196569,0.139677104,0,5,2,17.14285714
3472,0,0,0,3,0,10.33333333
3094,0,0,0,6,0,12
269,0,0,0,7,0,17.85714286
761,0,0,0,8,0,10.75
1465,0,0,0,16,0,15.625
2648,0,0,0,6,0,12.66666667
2649,0,0,0.05,5,0,11.4
3151,0,0,0,5,0,12.4
3460,0,0,0,4,0,15.75
1066,0,0,0.002298851,30,0,15.86666667
1247,3.912045463,0.128264646,0,11,10,11.0952381
1815,4.741796477,0.137198052,0.004329004,13,9,13.63636364
1978,0.00167601,1,0,2,1,11.33333333
2251,0.747529155,0.12594477,0,7,1,12.625
2252,0,0,0,3,0,12.33333333
2256,1.690147488,0.162928722,0,2,10,13.75
2257,0,0,0,9,0,14
3324,0,0,0,5,0,11.6
3325,0,0,0,7,0,21
1009,0,0,0,8,0,17.375
1576,8.585560472,0.13773861,0.001424501,17,10,12.51851852
1914,3.177913502,0.158288671,0,7,10,28.76470588
3259,4.742563517,0.150768364,0.008333333,7,9,15.0625
3330,0,0,0,9,0,11.88888889
3331,0,0,0,4,0,14.5
3332,4.276279897,0.154332667,0.003676471,7,10,14.64705882
3333,1.858217599,0.149101734,0,2,10,10.58333333
731,0,0,0,4,0,20.25
748,0,0,0,3,0,15.33333333
807,0,0,0,2,0,29.5
808,0,0,0,14,0,13.71428571
809,4.429931345,0.15089852,0,3,10,9.538461538
810,0,0,0,14,0,16.64285714
811,0,0,0,13,0,12.53846154
812,3.817944305,0.151175515,0,5,9,14.07142857
813,0,0,0,14,0,15.21428571
814,1.051912972,0.163945409,0.027272727,1,10,56.09090909
11,6.351529528,0.148628247,0,9,10,11.21052632
12,1.26765649,0.916666667,0,2,10,10
13,4.787499332,0.145189178,0.007352941,7,10,11.52941176
14,3.577810997,0.152304574,0,6,10,14.375
15,0,0,0,1,0,19
16,0,0,0,12,0,13.33333333
17,0,0,0,7,0,22.57142857
18,0,0,0,1,0,19
19,4.306214572,0.146711202,0,9,2,13.63636364
20,0,0,0.004166667,16,0,21.5
21,2.624904802,0.153467121,0,4,10,13.92857143
708,0,0,0,6,0,11.33333333
1276,0,0,0,9,0,13.66666667
1482,0,0,0,11,0,17
1590,0,0,0,13,0,18.15384615
1632,0,0,0,3,0,13
2885,0,0,0,4,0,13.5
3334,0,0,0,9,0,13.22222222
3335,0,0,0,3,0,14
3336,0,0,0,3,0,12.33333333
3337,0.092223784,1,0,1,1,8
460,5.291970855,0.142790457,0.0125,11,5,13.1875
765,0,0,0,3,0,10.33333333
766,0.038400815,1,0,4,1,12.6
767,0,0,0,2,0,19.5
768,0,0,0.023809524,7,0,12.42857143
769,1.995641324,0.139381611,0.004166667,6,10,10.8125
770,0,0,0,1,0,17
771,2.125071462,0.151084847,0.007575758,3,9,14.41666667
772,5.836364498,0.148811592,0.004329004,13,9,20.68181818
773,1.030879345,0.138735908,0.015151515,2,10,12.66666667
218,5.921149464,0.161369331,0,4,10,10.57142857
1364,11.84407131,0.1503634,3.63E-04,44,9,13.28301887
1365,2.221461631,0.141150297,0,8,10,11.88888889
1366,0,0,0,2,0,16.5
1367,2.650266887,0.143736994,0,8,8,10.25
1368,0,0,0,6,0,13
1369,0,0,0.022222222,10,0,18.4
1370,0,0,0,5,0,17.6
1371,0,0,0,5,0,10.6
1372,4.420133509,0.14096677,0,5,10,11.13333333
296,16.93266087,0.160766574,0,11,10,12.95238095
3618,2.606740384,0.156945742,0,1,9,12.5
1344,0,0,0,13,0,12.61538462
1655,0,0,0,11,0,17.81818182
1798,0,0,0,9,0,11.77777778
2626,0,0,0,3,0,12.66666667
2877,2.918955652,0.156670142,0,6,9,12.53333333
3338,8.800741033,0.162329663,0,8,10,13
3339,0,0,0,4,0,12.5
3340,0,0,0,5,0,12.4
3341,0,0,0,3,0,11.66666667
3342,6.738390652,0.164698869,0,8,10,14.38888889
22,2.694245451,0.144109432,0.012820513,4,9,14.84615385
23,2.118818101,0.153211813,0.015151515,2,10,17
24,0,0,0,12,0,14.41666667
25,0,0,0,8,0,12.5
26,0,0,0,4,0,10.75
27,0,0,0,1,0,13
28,7.707944789,0.144596009,0.003676471,7,10,17.88235294
29,0,0,0,1,0,13
30,0,0,0,9,0,17.88888889
31,44.03643943,0.150076221,0.001621622,65,10,14.73333333
730,3.035469523,0.136127402,0,11,6,11.64705882
1240,0,0,0.00952381,15,0,13.6
2239,1.75841705,0.145440652,0,4,9,12.38461538
2305,0,0,0,6,0,14
